display_title,docdt,url,pdfurl
Kenya - Forest Plantations Project,1969-09-22T04:00:00Z,http://documents.worldbank.org/curated/en/861171468046802688,http://documents.worldbank.org/curated/en/861171468046802688/pdf/multi0page.pdf
"Announcement of Thirty-Five Million US Dollars Loan for Improvements of Ports in East Africa on August 26, 1969
",1969-08-25T04:00:00Z,http://documents.worldbank.org/curated/en/099139104192236556,http://documents.worldbank.org/curated/en/099139104192236556/pdf/IDU02a6648ff0534c04e2c08a950e0836714d579.pdf
,,,
Kenya - Highway Maintenance,1970-12-31T05:00:00Z,http://documents.worldbank.org/curated/en/921221468090304863,http://documents.worldbank.org/curated/en/921221468090304863/pdf/multi0page.pdf
Kenya - Highway Maintenance,1970-12-31T05:00:00Z,http://documents.worldbank.org/curated/en/152501468285585997,http://documents.worldbank.org/curated/en/152501468285585997/pdf/multi-page.pdf
"Announcement of 12.6 Million Dollars Credit for Road Maintenance in Kenya on December 23, 1970",1970-12-23T05:00:00Z,http://documents.worldbank.org/curated/en/798081600667191377,http://documents.worldbank.org/curated/en/798081600667191377/pdf/Announcement-of-12-6-Million-Dollars-Credit-for-Road-Maintenance-in-Kenya-on-December-23-1970.pdf
Kenya - Highway Maintenance Project : Credit 0224 - Credit Agreement - Conformed,1970-12-22T05:00:00Z,http://documents.worldbank.org/curated/en/339741468263325096,http://documents.worldbank.org/curated/en/339741468263325096/pdf/Credit-0224-Kenya-Highway-Maintenance-Project-Credit-Agreement.pdf
Kenya - Nairobi Water Supply Project,1970-11-30T05:00:00Z,http://documents.worldbank.org/curated/en/135101468047697528,http://documents.worldbank.org/curated/en/135101468047697528/pdf/multi0page.pdf
"Announcement of Eight Million Three Hundred Thousand US Dollars Loan in Kenya on November 18, 1970
",1970-11-17T05:00:00Z,http://documents.worldbank.org/curated/en/099129506032241518,http://documents.worldbank.org/curated/en/099129506032241518/pdf/IDU0ed40f1fc0737b04e2d095860bd38238b87bb.pdf
Kenya - Nairobi Water Supply Project,1970-10-31T05:00:00Z,http://documents.worldbank.org/curated/en/995321468091475515,http://documents.worldbank.org/curated/en/995321468091475515/pdf/multi-page.pdf
"Announcement of IFC Investment in Panafrican Paper Mills (E.A.) Limited, Kenya on June 29, 1970",1970-06-29T04:00:00Z,http://documents.worldbank.org/curated/en/805951595331218313,http://documents.worldbank.org/curated/en/805951595331218313/pdf/Announcement-of-IFC-Investment-in-Panafrican-Paper-Mills-E-A-Limited-Kenya-on-June-29-1970.pdf
"Announcement of Financing for Railways and Telecommunications in East Africa on May 26, 1970
",1970-05-25T04:00:00Z,http://documents.worldbank.org/curated/en/099020405252233875,http://documents.worldbank.org/curated/en/099020405252233875/pdf/IDU0f73eb0cb0d76704cee09424088873505d66d.pdf
"Announcement of 6.1 Million Dollars Credit for Education in Kenya on May 13, 1970",1970-05-13T04:00:00Z,http://documents.worldbank.org/curated/en/456521600061344462,http://documents.worldbank.org/curated/en/456521600061344462/pdf/Announcement-of-6-1-Million-Dollars-Credit-for-Education-in-Kenya-on-May-13-1970.pdf
,,,
Kenya - Second Education Project : Credit 0185 - Credit Agreement - Conformed,1970-05-12T04:00:00Z,http://documents.worldbank.org/curated/en/659311468254331798,http://documents.worldbank.org/curated/en/659311468254331798/pdf/Credit-0185-Kenya-Second-Education-Project-Credit-Agreement.pdf
Kenya - Second Education Project,1970-04-30T04:00:00Z,http://documents.worldbank.org/curated/en/109231468273324289,http://documents.worldbank.org/curated/en/109231468273324289/pdf/multi0page.pdf
Kenya - Second Education Project,1970-04-30T04:00:00Z,http://documents.worldbank.org/curated/en/980201468285578528,http://documents.worldbank.org/curated/en/980201468285578528/pdf/multi-page.pdf
,,,
Kenya - Fourth Highway Project,1971-12-31T05:00:00Z,http://documents.worldbank.org/curated/en/195651468089667444,http://documents.worldbank.org/curated/en/195651468089667444/pdf/multi0page.pdf
Kenya - Fourth Highway Project,1971-12-31T05:00:00Z,http://documents.worldbank.org/curated/en/572711468285059586,http://documents.worldbank.org/curated/en/572711468285059586/pdf/multi-page.pdf
Kenya - Fourth Highway Project : Credit 0276 - Credit Agreement - 1 - Conformed,1971-12-21T05:00:00Z,http://documents.worldbank.org/curated/en/615691468254336898,http://documents.worldbank.org/curated/en/615691468254336898/pdf/Credit-0276-Kenya-Fourth-Highway-Project-Credit-Agreement-1.pdf
Kenya - Fourth Highway Project : Credit 0276 - Credit Agreement - 2 - Conformed,1971-12-21T05:00:00Z,http://documents.worldbank.org/curated/en/182691468040448954,http://documents.worldbank.org/curated/en/182691468040448954/pdf/Credit-0276-Kenya-Fourth-Highway-Project-Credit-Agreement-2.pdf
Kenya - Fourth Highway Project : Credit 0276 - Joint Financing Agreement - Conformed,1971-12-21T05:00:00Z,http://documents.worldbank.org/curated/en/913441468273011965,http://documents.worldbank.org/curated/en/913441468273011965/pdf/Credit-0276-Kenya-Fourth-Highway-Project-Other.pdf
International Bank for Reconstruction and Development (IBRD) Board of Governors resolution ; no. 267 : Place and date of 1973 annual meeting,1971-06-17T04:00:00Z,http://documents.worldbank.org/curated/en/543681468046752485,http://documents.worldbank.org/curated/en/543681468046752485/pdf/851170IBRD26700PUBLIC00Box0382158B.pdf
"Announcement of Sweden and World Bank Lend Twenty-NIne Million US Dollars for Electric Power in Kenya on June 3, 1971
",1971-06-02T04:00:00Z,http://documents.worldbank.org/curated/en/099125407222239986,http://documents.worldbank.org/curated/en/099125407222239986/pdf/IDU08f5ddaf201533044ec0a9b003061f6215515.pdf
Kenya - Kamburu Hydroelectric Project : Loan 0745 - Relending Agreement - Conformed,1971-06-01T04:00:00Z,http://documents.worldbank.org/curated/en/358971468038705651,http://documents.worldbank.org/curated/en/358971468038705651/pdf/Loan-0745-Kenya-Kamburu-Hydroelectric-Project-Relending-Agreement.pdf
Kenya - Kamburu Hydroelectric Project : Loan 0745 - Development Credit Agreement - Conformed,1971-06-01T04:00:00Z,http://documents.worldbank.org/curated/en/631111468038705917,http://documents.worldbank.org/curated/en/631111468038705917/pdf/Loan-0745-Kenya-Kamburu-Hydroelectric-Project-Development-Credit-Agreement.pdf
Kenya - Kamburu Hydroelectric Project : Loan 0745 - Guarantee Agreement - Conformed,1971-06-01T04:00:00Z,http://documents.worldbank.org/curated/en/629551468252930078,http://documents.worldbank.org/curated/en/629551468252930078/pdf/Loan-0745-Kenya-Kamburu-Hydroelectric-Project-Guarantee-Agreement.pdf
,,,
Kenya - Kamburu Hydroelectric Project : Loan 0745 - Guarantee Agreement - Conformed,1971-06-01T04:00:00Z,http://documents.worldbank.org/curated/en/629551468252930078,http://documents.worldbank.org/curated/en/629551468252930078/pdf/Loan-0745-Kenya-Kamburu-Hydroelectric-Project-Guarantee-Agreement.pdf
Mexico - Third Railway Project : Loan 1232 - Guarantee Agreement - Conformed,1971-06-01T04:00:00Z,http://documents.worldbank.org/curated/en/924671468254343932,http://documents.worldbank.org/curated/en/924671468254343932/pdf/Loan-1232-Mexico-Third-Railway-Project-Guarantee-Agreement.pdf
Kenya - Kamburu Hydroelectric Project : Loan 0745 - Joint Financing Agreement - Conformed,1971-06-01T04:00:00Z,http://documents.worldbank.org/curated/en/318531468254336336,http://documents.worldbank.org/curated/en/318531468254336336/pdf/Loan-0745-Kenya-Kamburu-Hydroelectric-Project-Joint-Financing-Agreement.pdf
Kenya - Kamburu Hydroelectric Project : Loan 0745 - Loan Agreement - Conformed,1971-06-01T04:00:00Z,http://documents.worldbank.org/curated/en/165451468284680272,http://documents.worldbank.org/curated/en/165451468284680272/pdf/Loan-0745-Kenya-Kamburu-Hydroelectric-Project-Loan-Agreement.pdf
Kenya - Kamburu Hydroelectric Project,1971-05-31T04:00:00Z,http://documents.worldbank.org/curated/en/700481468045023678,http://documents.worldbank.org/curated/en/700481468045023678/pdf/multi0page.pdf
Kenya - Kamburu Hydroelectric Project,1971-05-31T04:00:00Z,http://documents.worldbank.org/curated/en/409091468047424896,http://documents.worldbank.org/curated/en/409091468047424896/pdf/multi-page.pdf
,,,
